CONTROL	GUT	IMMMUNE
FZD8	2119	2951.5	2982
GALC	2514	5994	3205
GATSL3	5314	3504	6686
GBA	2824	2459	689
GCA	1413	3419	42
GCG	8999	438	12442
GDF9	11650	7692	13344
GHDC	2547	3144	1851
GJD4	12788	20811	15622
GLS	594	1615	803
GMEB2	4582	5063	2562
GNAI2	333	542	180
GNAT1	14629	19520	15948
GNG8	1357	9359	3886
GNPDA1	2248	3891	1798
GON4L	4421	5815	4204
GOT1	72	154	88
GPR183	291	767	214
GPR25	18199.5	10785	6998
GPR31	20698.5	19914	19085
GPR35	5595	748	2839
GPR65	6064	4175	1330
GPSM1	1626	5626	6081
GPX1	100	254	39
GPX3	1	7	33
GPX4	63	316	210
GRB7	2239	596	2780
GSDMA	6758	5023	8266
GSDMB	416	487	500
HCN3	2072	5554	9713
HCRT	32	20503.5	12209
HELZ2	1543	3248	1196
HEMK1	3891	3124	2814
HES5	2176	12237	8530
HIC2	7421	7753	8695
HIPK1	1383	2636	943
HMHA1	2612	372	245
HNF4A	11903	829	666
HORMAD2	17084	23120	9836
HOXA1	13296	8118	9259
HOXA10	1300	1743	9953
HOXA11	1504	1541	16332
HOXA13	9406	4021	18140
HOXA2	1815	6543	8382
HOXA3	4641	3612	10769
HOXA4	8755	5158	14270
HOXA5	894.5	1562	4413
HOXA6	8040	3631	16395
HOXA7	3685	3086	12355
HOXA9	10418.5	11094	13615
HSD17B1	4580	8247	6284
HSD17B14	1363	1665	481
HSD3B7	669	1474	143
HSPA6	30	489	29
HSPB9	10845	12860	5616
HYAL1	1028	1383	478
HYAL2	159	457	69
HYAL3	6248	7500.5	3001.5
ICAM1	187	432	152
ICAM3	2256	1070	64
ICAM4	6301	11438	3049
ICAM5	581	11504	5634
ICOSLG	2135	5359	3207
IFIH1	890	3381	967
IFNG	7177	12301	793
IFRD2	484	579	794
IFT46	2133	4666	5486
IKZF1	6948	2803	1291
IKZF3	11471	7009	1378
IL10	2393	6876	1943
IL12B	19756	22459	7826
IL12RB2	3096	12856	2409
IL13	10469	16844	11348
IL15RA	2009	3526	2223
IL18R1	2235	4601	333
IL18RAP	2786	5459	99
IL19	20382	2053	13074
IL1R1	360	505	686
IL1RL1	468	575	1649
IL1RL2	10328	5881	8543
IL2	16612	16616.5	14930
IL20	9512	14006	11193
IL21	19934	17138	14480
IL23R	17617	17035	6482
IL24	1532	1401	620
IL27	6799	10974	1399
IL2RA	4988	4326	1746
IL3	17203	22935.5	18967.5
IL4	17051	20394	8568
IL5	14853	19020	15552
IMPDH2	154	250	215
INPP5D	2091	417	374
INPP5E	2410	2401	1838
INSL4	16100	16924	20161.5
INSL6	17650	20654	12541
IP6K1	1137	2175	1254
IP6K2	477	1103	1868
IPMK	4696	6361	3032
IQCH	13633	16350	16067.5
IRF1	429	457	214
IRF5	2089	2015	481
IRF8	1417	460	433
IRGM	6770	13884	12218.5
ITGAD	5292	15265	1959
ITGAL	3570	589	184
ITGAM	2357	6351	243
ITGAX	556	2324	83
ITLN1	11	120	40
ITLN2	1804	110	9539
IZUMO1	12754	686	11393
JAK2	731	4220	1650
JAZF1	5604	7371	1920
KAT2A	247	417	301
KAT8	762	1654	824
KCNH4	2845	16280	12343
KCNH7	15294	16668	6039
KCNK10	7199	11161	18372
KCP	6274	10380	9843
KEAP1	436	1658	2027
KIAA0907	963	1535	2443
KIAA1109	2338	4298	3723
KIAA1841	7455	11723	10037
KIAA1919	10763	12217	8624
KIF1A	106	7854	8871
KIF21B	1493	4265	984
KIF3A	1329	9565	1775
KLHDC8B	396	498	742
KMT2A	2565	5649	3641
KRI1	2049	1108	1520
KSR1	2789	4131	1700
LACC1	713	6489	8547
LAMB1	123	157	581
LAMB2	211	276	944
LAMB4	13021	9033	18728
LAMTOR2	1556	1303	1014
LAT	966	594	414
LEAP2	7289	4387	254
LENEP	13457	17677.5	12518
LGALS9	536	356	275
LHX3	18329	22575	11524
LHX9	9978	25081.5	14392
LIF	310	1991	951
LIX1	594	10525	14725
LMNA	135	204	591
LMTK3	1031	4959	7477
LNPEP	2324	4187	1633
LRRC32	219	934	793
LRRC3C	14333	18564	16405.5
LRRK2	862	6301	702
LSMEM2	2188	3209	6642
LY9	11632	4114	1250
LYRM9	7471	11532	8964.5
MAGI3	5761	6272	9347
MAMSTR	643	8900	6069
MANF	420	437	178
MAP3K8	846	1019	401
MAPKAPK2	234	436	314
MAPKAPK3	167	342	693
MED1	4831	6627	3798
MED24	949	1890	2486
MEX3A	11552	12953	11189
MGAT3	951	3057	1557
MIDN	154	208	263
MIEN1	399	501	677
MLX	774	887	756
MMEL1	12315	9312	12222
MMP9	239	2758	16
MON1A	3757	5648	5918
MORN1	3805	11142	11186
MPZ	4	162	1919
MRPL4	1384	1139	1134
MSL1	714	1000	337
MST1	575	1429	50
MST1R	4646	910	8541
MSTO1	3963	5346	2387
MTMR3	2654	2727	526
MTPAP	5763	8928	8316
MTX1	5018	4428	821
MUC1	919	26	5117
MUC19	21280	23453	12331
MYOZ3	486	11235	8502
NAGLU	1273	1414	1385
NAT6	2450	3295	2272
NCKIPSD	949	2995	2503
NCOA5	1151	1997	1989
NDFIP1	114	1269	846
NDUFAF3	337	538	546
NEFH	127	7547	4941
NEURL2	1451	3374	3453
NEUROD2	335	17810	16188
NF2	1943	4853	6000
NFATC2IP	1872	1662	2156
NICN1	1611	2421	3347
NIPSNAP1	2180	2614	555
NKD1	1578	2334	10778
NKX2-3	8269	1268	1068
NME6	6115	7150	4707
NOD2	6052	3722	1258
NOS2	6794	977	8467
NOTCH1	2218	1761	898
NPIPB6	10624	13938	10453
NPIPB9	16441	17017	17110
NPRL2	1097	1793	1776
NR1D1	93	370	484
NR1I3	8938	12692	271
